Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.apache.commons.io.ByteOrderMark,100,1,2,1,1,0.706016886,2,0,1,76,28,0,18,51,52,1,1,69,40,1,69
org.apache.commons.io.comparator.AbstractFileComparator,100,1,1,0,1,0.921419221,6,4,1,18,19,2,5,20,77,67,1,26,4,50,27
org.apache.commons.io.comparator.CompositeFileComparator,50,1,2,1,1,0.753292888,6,3,2,49,28,2,11,47,77,53,27,56,40,50,55
org.apache.commons.io.comparator.DefaultFileComparator,0,0,2,1,1,0.983870968,0,2,2,7,19,1,1,1,1,40,27,1,4,14,1
org.apache.commons.io.comparator.DirectoryFileComparator,0,0,2,1,1,0.921419221,0,2,2,14,20,1,3,20,1,40,27,19,8,14,12
org.apache.commons.io.comparator.ExtensionFileComparator,25,1,2,1,1,0.587995712,6,4,2,26,22,2,5,65,77,67,27,36,19,50,27
org.apache.commons.io.comparator.LastModifiedFileComparator,0,0,2,1,1,0.951612903,0,2,2,14,19,1,3,17,1,40,27,19,4,14,12
org.apache.commons.io.comparator.NameFileComparator,25,1,2,1,1,0.765620844,6,3,2,22,21,2,5,44,77,53,27,32,13,50,27
org.apache.commons.io.comparator.PathFileComparator,25,1,2,1,1,0.765620844,6,3,2,22,21,2,5,44,77,53,27,32,13,50,27
org.apache.commons.io.comparator.ReverseComparator,33,1,1,0,1,0.818202335,6,1,2,16,19,1,4,39,77,11,27,23,4,14,21
org.apache.commons.io.comparator.SizeFileComparator,0,0,2,1,1,0.666734683,6,3,2,39,23,1,10,55,77,53,27,49,26,14,48
org.apache.commons.io.CopyUtils,100,1,2,1,1,0.643274132,1,9,1,84,33,9,13,56,21,88,1,73,55,97,57
org.apache.commons.io.DirectoryWalker,518,1,2,1,1,0.615674992,0,8,1,112,34,6,27,59,1,85,1,85,56,89,87
org.apache.commons.io.DirectoryWalker.CancelException,75,1,1,0,1,0.937028029,0,1,4,19,26,1,4,18,1,11,85,28,37,14,21
org.apache.commons.io.EndianUtils,100,1,2,1,1,0.27084264,2,4,1,202,48,3,33,87,52,67,1,95,81,71,91
org.apache.commons.io.FileCleaner,0,0,2,1,1,0.536669403,0,3,1,31,25,3,7,70,1,53,1,39,34,71,39
org.apache.commons.io.FileCleaningTracker,900,1,2,1,1,0.591667838,2,11,1,86,45,6,13,64,52,94,1,76,74,89,57
org.apache.commons.io.FileCleaningTracker.Reaper,50,1,1,0,1,0.904526535,1,6,2,22,63,1,4,25,21,81,27,32,91,14,21
org.apache.commons.io.FileCleaningTracker.Tracker,33,1,1,0,1,0.890944683,1,3,3,15,20,2,4,27,21,53,78,21,8,50,21
org.apache.commons.io.FileDeleteStrategy,67,1,2,1,1,0.769253754,3,3,1,40,20,2,7,43,70,53,1,51,8,50,39
org.apache.commons.io.FileDeleteStrategy.ForceFileDeleteStrategy,0,0,0,0,0,0.804178376,1,3,2,10,17,2,2,40,21,53,27,7,1,50,4
org.apache.commons.io.FileExistsException,33,1,1,0,1,0.952389144,1,1,4,12,24,1,3,9,21,11,85,12,32,14,12
org.apache.commons.io.filefilter.AbstractFileFilter,0,0,0,0,0,0.749882796,12,1,1,12,22,1,3,48,89,11,1,12,19,14,12
org.apache.commons.io.filefilter.AgeFileFilter,75,1,1,0,1,0.477890873,13,3,2,33,23,2,10,77,91,53,27,43,26,50,48
org.apache.commons.io.filefilter.AndFileFilter,40,1,2,1,1,0.461208444,13,5,2,77,43,2,22,79,91,78,27,71,70,50,76
org.apache.commons.io.filefilter.CanReadFileFilter,0,0,0,0,0,0.968002081,2,4,2,12,22,1,2,4,52,67,27,12,19,14,4
org.apache.commons.io.filefilter.CanWriteFileFilter,0,0,0,0,0,0.968002081,2,2,2,10,21,1,2,4,52,40,27,7,13,14,4
org.apache.commons.io.filefilter.DelegateFileFilter,40,1,1,0,1,0.50077533,13,1,2,39,22,1,10,75,91,11,27,49,19,14,48
org.apache.commons.io.filefilter.DirectoryFileFilter,50,1,1,0,1,0.968002081,2,1,2,10,20,1,2,4,52,11,27,7,8,14,4
org.apache.commons.io.filefilter.EmptyFileFilter,0,0,0,0,0,0.952133195,2,2,2,15,23,1,3,15,52,40,27,21,26,14,12
org.apache.commons.io.filefilter.FalseFileFilter,0,0,0,0,0,0.952389144,0,1,1,12,17,1,3,9,1,11,1,12,1,14,12
org.apache.commons.io.filefilter.FileFileFilter,0,0,0,0,0,0.968002081,2,1,2,9,20,1,2,4,52,11,27,4,8,14,4
org.apache.commons.io.filefilter.FileFilterUtils,88,1,1,0,1,0.062307764,3,26,1,194,89,8,60,91,70,99,1,94,98,96,96
org.apache.commons.io.filefilter.HiddenFileFilter,0,0,0,0,0,0.968002081,2,2,2,10,21,1,2,4,52,40,27,7,13,14,4
org.apache.commons.io.filefilter.MagicNumberFileFilter,67,1,1,0,1,0.436424769,13,6,2,69,36,3,14,82,91,81,27,60,61,71,59
org.apache.commons.io.filefilter.NameFileFilter,56,1,1,0,1,0.397331719,13,3,2,70,30,3,22,84,91,53,27,61,48,71,76
org.apache.commons.io.filefilter.NotFileFilter,25,1,1,0,1,0.610558663,13,1,2,21,22,1,5,60,91,11,27,29,19,14,27
org.apache.commons.io.filefilter.OrFileFilter,70,1,2,1,1,0.476975122,13,5,2,71,43,2,20,78,91,78,27,66,70,50,73
org.apache.commons.io.filefilter.PrefixFileFilter,67,1,1,0,1,0.439498016,13,3,2,70,30,3,22,80,91,53,27,61,48,71,76
org.apache.commons.io.filefilter.RegexFileFilter,80,1,2,1,1,0.820712934,2,4,2,35,25,3,10,38,52,67,27,45,34,71,48
org.apache.commons.io.filefilter.SizeFileFilter,50,1,1,0,1,0.571649449,13,1,2,24,22,1,7,67,91,11,27,35,19,14,39
org.apache.commons.io.filefilter.SuffixFileFilter,67,1,1,0,1,0.439498016,14,3,2,70,30,3,22,80,100,53,27,61,48,71,76
org.apache.commons.io.filefilter.TrueFileFilter,0,0,0,0,0,0.952389144,0,1,1,12,17,1,3,9,1,11,1,12,1,14,12
org.apache.commons.io.filefilter.WildcardFileFilter,56,1,1,0,1,0.1420335,12,4,2,70,30,3,22,90,89,67,27,61,48,71,76
org.apache.commons.io.filefilter.WildcardFilter,60,1,1,0,1,0.244321543,2,3,2,47,28,2,14,88,52,53,27,54,40,50,59
org.apache.commons.io.FilenameUtils,97,1,2,1,1,7.93E-09,6,6,1,490,84,4,145,100,77,81,1,98,97,84,99
org.apache.commons.io.FileSystemUtils,85,1,2,1,1,0.003100498,1,17,1,236,68,6,38,93,21,97,1,96,93,89,93
org.apache.commons.io.FileUtils,93,1,2,1,1,2.40E-06,6,39,1,968,202,21,250,99,77,100,1,100,100,100,100
org.apache.commons.io.HexDump,75,1,2,1,1,0.770573977,0,2,1,71,25,2,14,42,1,40,1,66,34,50,59
org.apache.commons.io.input.AutoCloseInputStream,25,1,2,1,1,0.884980527,3,2,4,21,47,1,5,28,70,40,85,29,79,14,27
org.apache.commons.io.input.BOMInputStream,65,1,2,1,1,0.16428886,4,4,4,132,64,3,39,89,75,67,85,91,92,71,94
org.apache.commons.io.input.BoundedInputStream,21,1,2,1,1,0.609238799,1,1,2,84,35,1,21,61,21,11,27,73,59,14,75
org.apache.commons.io.input.BrokenInputStream,14,1,2,1,1,0.878021527,1,1,2,29,28,1,7,29,21,11,27,38,40,14,39
org.apache.commons.io.input.CharSequenceReader,11,1,2,1,1,0.71709933,1,0,2,74,39,0,18,49,21,1,27,68,65,1,69
org.apache.commons.io.input.ClassLoaderObjectInputStream,67,1,2,1,1,0.906062234,0,4,3,32,81,3,5,24,1,67,78,40,95,71,27
org.apache.commons.io.input.ClosedInputStream,100,1,2,1,1,0.983870968,0,0,2,7,23,0,1,1,1,1,27,1,26,1,1
org.apache.commons.io.input.CloseShieldInputStream,50,1,2,1,1,0.952389144,0,1,4,9,45,0,2,9,1,11,85,4,74,1,4
org.apache.commons.io.input.CountingInputStream,86,1,2,1,1,0.764938734,1,1,4,40,50,1,10,46,21,11,85,51,85,14,48
org.apache.commons.io.input.DemuxInputStream,0,0,0,0,0,0.921419221,0,1,2,35,28,1,5,20,1,11,27,45,40,14,27
org.apache.commons.io.input.NullInputStream,13,1,2,1,1,0.509065769,1,2,2,128,39,2,31,73,21,40,27,89,65,50,90
org.apache.commons.io.input.NullReader,40,1,2,1,1,0.534950469,1,2,2,117,40,2,28,71,21,40,27,86,68,50,89
org.apache.commons.io.input.ProxyInputStream,69,1,1,0,1,0.587791778,8,1,3,90,43,1,15,66,87,11,78,80,70,14,63
org.apache.commons.io.input.ProxyReader,43,1,2,1,1,0.601468006,1,2,3,106,46,2,17,62,21,40,78,83,77,50,66
org.apache.commons.io.input.ReaderInputStream,0,0,2,1,1,0.376646748,1,9,2,82,46,7,18,85,21,88,27,72,77,92,69
org.apache.commons.io.input.SwappedDataInputStream,100,1,2,1,1,0.323536043,1,3,4,95,81,2,18,86,21,53,85,82,95,50,69
org.apache.commons.io.input.TaggedInputStream,75,1,2,1,1,0.829251559,1,4,4,16,50,2,4,36,21,67,85,23,85,50,21
org.apache.commons.io.input.Tailer,25,1,2,1,1,0.599449862,1,8,1,131,41,5,23,63,21,85,1,90,69,86,83
org.apache.commons.io.input.TailerListenerAdapter,0,0,0,0,0,0.921914674,0,1,1,12,21,1,5,19,1,11,1,12,13,14,27
org.apache.commons.io.input.TeeInputStream,17,1,2,1,1,0.558961784,1,2,4,47,50,2,10,68,21,40,85,54,85,50,48
org.apache.commons.io.input.XmlStreamReader,52,1,2,1,1,9.83E-05,1,16,2,312,79,11,62,98,21,96,27,97,94,98,97
org.apache.commons.io.input.XmlStreamReaderException,100,1,2,1,1,0.878021527,2,0,4,36,29,0,7,29,52,1,85,47,47,1,39
org.apache.commons.io.IOCase,83,1,2,1,1,0.689060755,9,1,1,70,31,0,22,52,88,11,1,61,52,1,76
org.apache.commons.io.IOExceptionWithCause,100,1,2,1,1,0.952133195,2,0,4,11,24,0,3,15,52,1,85,11,32,1,12
org.apache.commons.io.IOUtils,85,1,2,1,1,0.00654223,6,24,1,512,127,19,136,92,77,98,1,99,99,99,98
org.apache.commons.io.LineIterator,100,1,2,1,1,0.48078804,2,5,1,65,28,3,17,76,52,78,1,59,40,71,66
org.apache.commons.io.monitor.FileAlterationListenerAdaptor,0,0,0,0,0,0.878021527,0,2,1,18,27,2,8,29,1,40,1,26,39,50,46
org.apache.commons.io.monitor.FileAlterationMonitor,83,1,2,1,1,0.002906634,1,4,1,87,35,3,25,94,21,67,1,77,59,71,84
org.apache.commons.io.monitor.FileAlterationObserver,77,1,2,1,1,1.80E-04,2,11,1,185,61,7,55,97,52,94,1,93,90,92,95
org.apache.commons.io.monitor.FileEntry,42,1,1,0,1,0.6235069,2,1,1,85,34,1,25,57,52,11,1,75,56,14,84
org.apache.commons.io.output.BrokenOutputStream,20,1,2,1,1,0.907045082,1,1,2,21,23,1,5,23,21,11,27,29,26,14,27
org.apache.commons.io.output.ByteArrayOutputStream,93,1,2,1,1,0.397826522,3,10,2,164,49,4,33,83,70,92,27,92,83,84,91
org.apache.commons.io.output.ClosedOutputStream,100,1,2,1,1,0.983870968,0,1,2,7,21,1,1,1,1,11,27,1,13,14,1
org.apache.commons.io.output.CloseShieldOutputStream,50,1,2,1,1,0.952389144,0,1,4,9,34,0,2,9,1,11,85,4,56,1,4
org.apache.commons.io.output.CountingOutputStream,83,1,2,1,1,0.835768773,1,0,4,32,38,0,8,35,21,1,85,40,64,1,46
org.apache.commons.io.output.DeferredFileOutputStream,70,1,2,1,1,0.51544805,1,7,3,89,48,5,15,72,21,84,78,78,81,86,63
org.apache.commons.io.output.DemuxOutputStream,0,0,0,0,0,0.89169602,0,1,2,41,26,1,7,26,1,11,27,53,37,14,39
org.apache.commons.io.output.FileWriterWithEncoding,20,1,2,1,1,0.002123121,1,9,2,106,45,5,26,95,21,88,27,83,74,86,86
org.apache.commons.io.output.LockableFileWriter,22,1,2,1,1,8.09E-04,1,8,2,127,58,3,27,96,21,85,27,88,89,71,87
org.apache.commons.io.output.NullOutputStream,100,1,2,1,1,0.952389144,0,1,2,12,22,1,3,9,1,11,27,12,19,14,12
org.apache.commons.io.output.NullWriter,73,1,2,1,1,0.836218171,0,0,2,38,37,0,11,34,1,1,27,48,62,1,55
org.apache.commons.io.output.ProxyOutputStream,100,1,2,1,1,0.675893207,5,1,3,59,32,1,10,54,76,11,78,58,54,14,48
org.apache.commons.io.output.ProxyWriter,64,1,2,1,1,0.554329486,1,1,3,123,47,1,17,69,21,11,78,87,79,14,66
org.apache.commons.io.output.StringBuilderWriter,50,1,2,1,1,0.795977106,1,0,2,52,44,0,15,41,21,1,27,57,73,1,63
org.apache.commons.io.output.TaggedOutputStream,75,1,2,1,1,0.829251559,1,4,4,16,39,2,4,36,21,67,85,23,65,50,21
org.apache.commons.io.output.TeeOutputStream,67,1,2,1,1,0.623440202,1,1,4,32,37,1,6,58,21,11,85,40,62,14,37
org.apache.commons.io.output.ThresholdingOutputStream,62,1,1,0,1,0.68555793,2,1,2,76,31,1,14,53,52,11,27,69,52,14,59
org.apache.commons.io.output.WriterOutputStream,64,1,2,1,1,0.502793935,1,9,2,91,49,7,20,74,21,88,27,81,83,92,73
org.apache.commons.io.output.XmlStreamWriter,50,1,2,1,1,0.714391524,1,10,2,89,50,7,22,50,21,92,27,78,85,92,76
org.apache.commons.io.TaggedIOException,80,1,2,1,1,0.870706648,3,0,5,26,28,0,6,32,70,1,100,36,40,1,37
org.apache.commons.io.ThreadMonitor,80,1,2,1,1,0.849069502,2,0,1,33,23,0,7,33,52,1,1,43,26,1,39
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
