Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.jfree.chart.renderer.category.CategoryItemRendererState,0,66,1,1,2,0,21,2,4,17,5
org.jfree.chart.renderer.category.CategoryStepRenderer,9,83,12,9,3,0,110,2,5,358,19
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,,,0,0,4,0,4,0,0,378,0
org.jfree.chart.renderer.category.GanttRenderer,42,85,24,16,5,0,344,4,11,409,49
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,0,0,29,17,5,0,231,1,6,427,33
org.jfree.chart.renderer.category.IntervalBarRenderer,3,,24,16,4,1,150,0,2,396,18
org.jfree.chart.renderer.category.LayeredBarRenderer,15,0,27,17,4,0,298,1,6,413,53
org.jfree.chart.renderer.category.LevelRenderer,56,50,25,17,3,0,201,2,12,383,34
org.jfree.chart.renderer.category.LineAndShapeRenderer,574,89,23,15,3,3,377,12,38,402,85
org.jfree.chart.renderer.category.LineRenderer3D,24,62,33,19,4,0,339,3,12,438,36
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,83,84,35,21,3,0,215,9,17,391,38
org.jfree.chart.renderer.category.StackedAreaRenderer,6,,16,13,4,0,98,0,3,362,12
org.jfree.chart.renderer.category.StackedBarRenderer,6,0,25,15,4,1,190,1,7,408,33
org.jfree.chart.renderer.category.StackedBarRenderer3D,13,0,24,14,5,0,223,1,7,429,39
org.jfree.chart.renderer.category.StatisticalBarRenderer,0,0,21,15,4,0,269,1,8,402,38
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,0,0,29,19,4,0,197,1,6,417,34
org.jfree.chart.renderer.category.WaterfallBarRenderer,21,60,30,18,4,0,269,4,13,415,46
org.jfree.chart.renderer.DefaultPolarItemRenderer,37,66,28,19,2,0,139,2,9,218,19
org.jfree.chart.renderer.NotOutlierException,,,0,0,3,0,5,0,0,22,1
org.jfree.chart.renderer.Outlier,27,62,1,1,1,0,49,2,9,24,12
org.jfree.chart.renderer.OutlierList,20,77,5,3,1,0,48,3,8,30,11
org.jfree.chart.renderer.OutlierListCollection,18,80,5,4,1,0,49,3,7,29,12
org.jfree.chart.renderer.PolarItemRenderer,,,9,9,0,1,22,0,8,8,8
org.jfree.chart.renderer.RendererState,0,0,3,3,1,8,19,1,2,15,5
org.jfree.chart.renderer.WaferMapRenderer,39,76,16,11,2,0,188,4,12,198,45
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,1107,93,52,41,2,23,751,14,49,432,128
org.jfree.chart.renderer.xy.CandlestickRenderer,174,89,32,22,3,0,363,10,22,410,61
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,4,0,21,15,4,0,136,1,3,388,21
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,10,,12,15,4,0,249,0,1,385,36
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,63,77,3,3,1,0,59,3,13,32,17
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,,,0,0,4,0,4,0,0,389,0
org.jfree.chart.renderer.xy.HighLowRenderer,21,68,27,20,3,0,221,4,13,386,46
org.jfree.chart.renderer.xy.SignalRenderer,18,66,23,16,3,0,136,3,8,370,16
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,86,33,34,26,4,0,318,2,13,414,53
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,8,87,4,4,3,0,34,4,7,21,8
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,36,,21,17,4,0,238,0,7,381,26
org.jfree.chart.renderer.xy.StackedXYBarRenderer,10,,22,15,4,0,161,0,3,388,25
org.jfree.chart.renderer.xy.StandardXYItemRenderer,451,89,40,29,3,1,451,11,31,423,93
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,1,0,2,2,3,0,13,2,2,15,3
org.jfree.chart.renderer.xy.WindItemRenderer,3,,17,13,3,0,76,0,2,360,3
org.jfree.chart.renderer.xy.XYAreaRenderer,70,80,33,25,3,1,343,5,14,396,59
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,,,3,3,3,0,9,2,0,14,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,28,76,31,23,3,1,232,3,10,388,31
org.jfree.chart.renderer.xy.XYBarRenderer,109,82,37,27,3,2,312,6,20,409,55
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,1,0,1,1,3,0,12,1,2,15,3
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,128,70,38,27,3,0,419,4,19,421,65
org.jfree.chart.renderer.xy.XYBubbleRenderer,13,100,26,21,3,0,165,1,4,371,27
org.jfree.chart.renderer.xy.XYDifferenceRenderer,177,65,33,22,3,0,562,4,21,398,86
org.jfree.chart.renderer.xy.XYDotRenderer,3,,11,10,3,0,49,0,2,352,6
org.jfree.chart.renderer.xy.XYItemRenderer,,,22,22,0,24,194,0,132,133,132
org.jfree.chart.renderer.xy.XYItemRendererState,,,2,2,2,5,7,1,0,13,1
org.jfree.chart.renderer.xy.XYLine3DRenderer,48,80,5,3,4,0,66,3,11,408,14
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,1102,91,32,23,3,3,561,14,50,435,114
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,1,0,2,2,3,0,13,2,2,15,3
org.jfree.chart.renderer.xy.XYStepAreaRenderer,112,91,23,17,3,0,266,6,14,382,53
org.jfree.chart.renderer.xy.XYStepRenderer,6,,21,18,4,0,115,0,2,409,18
org.jfree.chart.renderer.xy.YIntervalRenderer,3,,22,18,3,0,80,0,2,362,10
org.jfree.chart.resources.JFreeChartResources,,,0,0,3,0,12,0,1,34,1
org.jfree.chart.servlet.ChartDeleter,4,0,5,4,1,0,28,1,4,27,7
org.jfree.chart.servlet.DisplayChart,,,9,7,3,0,50,0,2,61,11
org.jfree.chart.servlet.ServletUtilities,69,40,20,10,1,0,168,2,14,66,35
org.jfree.chart.StandardArrangement,19,,23,18,1,0,194,1,6,64,39
org.jfree.chart.title.ACITextTitle,74,69,25,17,3,0,256,4,17,154,53
org.jfree.chart.title.AttributedTextTitle,109,69,30,20,3,0,307,5,19,159,67
org.jfree.chart.title.CompositeTitle,36,0,9,7,3,0,74,1,10,121,18
org.jfree.chart.title.DateTitle,10,,10,7,4,0,36,0,1,125,5
org.jfree.chart.title.ImageTitle,61,50,15,11,3,0,178,3,11,131,28
org.jfree.chart.title.LegendGraphic,366,86,19,14,2,0,308,13,35,141,77
org.jfree.chart.title.LegendTitle,279,88,29,19,3,0,309,11,28,191,63
org.jfree.chart.title.TextTitle,16,44,36,23,3,1,406,4,21,174,89
org.jfree.chart.title.Title,487,85,19,18,2,7,293,7,32,125,72
org.jfree.chart.ui.AxisPropertyEditPanel,98,96,26,13,5,2,196,15,16,518,27
org.jfree.chart.ui.ChartPropertyEditPanel,10,88,23,14,5,0,141,5,7,494,10
org.jfree.chart.ui.ColorBarPropertyEditPanel,0,79,18,8,7,0,96,7,4,514,10
org.jfree.chart.ui.ColorPalette,179,82,5,3,1,2,210,10,25,49,53
org.jfree.chart.ui.GreyPalette,1,,0,0,2,0,24,0,1,37,3
org.jfree.chart.ui.NumberAxisPropertyEditPanel,18,83,23,12,6,1,175,10,12,514,26
org.jfree.chart.ui.PaletteChooserPanel,0,,7,3,5,0,15,1,1,460,2
org.jfree.chart.ui.PaletteSample,1,66,12,7,4,0,51,2,5,460,8
org.jfree.chart.ui.PlotPropertyEditPanel,57,94,38,26,5,0,376,15,14,533,68
org.jfree.chart.ui.RainbowPalette,1,,0,0,2,0,112,3,1,38,2
org.jfree.chart.ui.TitlePropertyEditPanel,15,90,24,14,5,0,135,9,9,501,19
org.jfree.chart.urls.CategoryURLGenerator,,,1,1,0,1,3,0,1,1,1
org.jfree.chart.urls.CustomPieURLGenerator,0,0,7,5,1,0,83,1,7,35,20
org.jfree.chart.urls.CustomXYURLGenerator,9,0,3,3,1,0,73,1,6,25,21
org.jfree.chart.urls.PieURLGenerator,,,1,1,0,2,3,0,1,1,1
org.jfree.chart.urls.StandardCategoryURLGenerator,1,0,4,1,1,0,82,3,4,23,20
org.jfree.chart.urls.StandardPieURLGenerator,0,34,1,1,1,0,54,3,2,17,11
org.jfree.chart.urls.StandardXYURLGenerator,2,0,2,1,1,1,62,3,2,17,14
org.jfree.chart.urls.StandardXYZURLGenerator,,,2,1,2,0,6,0,1,16,1
org.jfree.chart.urls.TimeSeriesURLGenerator,1,,4,2,1,0,33,4,1,20,6
org.jfree.chart.urls.XYURLGenerator,,,1,1,0,5,3,0,1,1,1
org.jfree.chart.urls.XYZURLGenerator,,,1,1,0,1,3,0,1,2,1
org.jfree.data.category.CategoryDataset,,,0,0,0,12,2,0,0,14,0
org.jfree.data.category.CategoryToPieDataset,0,26,6,4,2,0,85,3,7,49,23
org.jfree.data.category.DefaultCategoryDataset,0,0,2,2,2,2,125,1,23,81,34
org.jfree.data.category.DefaultIntervalCategoryDataset,345,77,6,2,3,0,286,4,27,82,67
org.jfree.data.category.IntervalCategoryDataset,,,0,0,0,3,6,0,4,18,4
org.jfree.data.contour.ContourDataset,,,1,1,0,2,11,0,9,17,9
org.jfree.data.contour.DefaultContourDataset,191,82,4,3,5,1,210,6,24,94,55
org.jfree.data.contour.NonGridContourDataset,10,,1,1,6,0,106,0,2,87,18
org.jfree.data.DataUtilities,,,4,3,1,0,67,0,5,27,18
org.jfree.data.DefaultKeyedValue,0,37,0,0,1,0,47,2,6,20,15
org.jfree.data.DefaultKeyedValues,21,0,14,6,1,0,141,1,17,54,36
org.jfree.data.DefaultKeyedValues2D,19,56,8,3,1,0,227,4,21,71,54
org.jfree.data.DomainInfo,,,1,1,0,8,5,0,3,3,3
org.jfree.data.DomainOrder,0,83,1,1,1,0,43,1,4,17,11
org.jfree.data.function.Function2D,,,0,0,0,3,3,0,1,1,1
org.jfree.data.function.LineFunction2D,0,,0,0,1,0,11,2,1,13,2
org.jfree.data.function.NormalDistributionFunction2D,0,50,0,0,1,0,19,2,3,17,4
org.jfree.data.function.PowerFunction2D,0,,0,0,1,0,11,2,1,14,2
org.jfree.data.gantt.GanttCategoryDataset,,,0,0,0,1,15,0,10,28,10
org.jfree.data.gantt.Task,45,75,6,3,1,0,85,4,13,34,24
org.jfree.data.gantt.TaskSeries,0,0,4,2,2,0,59,1,8,46,16
org.jfree.data.gantt.TaskSeriesCollection,214,47,10,6,3,0,279,2,35,122,66
org.jfree.data.general.AbstractDataset,18,57,11,10,1,38,66,2,11,40,15
org.jfree.data.general.AbstractSeriesDataset,10,,1,1,2,25,23,0,4,33,7
org.jfree.data.general.CombinationDataset,,,1,1,0,2,4,0,2,2,2
org.jfree.data.general.CombinedDataset,405,0,5,3,5,0,229,1,28,103,54
org.jfree.data.general.CombinedDataset.DatasetInfo,,,1,1,1,0,8,2,0,11,1
org.jfree.data.general.Dataset,,,2,2,0,61,6,0,4,4,4
org.jfree.data.general.DatasetChangeEvent,0,,1,1,2,0,10,1,1,14,2
org.jfree.data.general.DatasetChangeListener,,,1,1,0,23,3,0,1,1,1
org.jfree.data.general.DatasetGroup,0,0,0,0,1,0,33,1,3,16,9
org.jfree.data.general.DatasetUtilities,,,25,20,1,0,853,0,39,110,197
org.jfree.data.general.DefaultKeyedValueDataset,3,0,3,0,2,0,69,1,7,38,20
org.jfree.data.general.DefaultKeyedValues2DDataset,,,0,0,3,0,5,0,0,58,0
org.jfree.data.general.DefaultKeyedValuesDataset,,,0,0,3,0,4,0,0,44,0
org.jfree.data.general.DefaultPieDataset,0,0,3,2,2,2,100,1,12,59,27
org.jfree.data.general.DefaultValueDataset,1,0,2,0,2,0,39,1,4,34,11
org.jfree.data.general.KeyedValueDataset,,,0,0,0,1,2,0,0,6,0
org.jfree.data.general.KeyedValues2DDataset,,,0,0,0,1,2,0,0,14,0
org.jfree.data.general.KeyedValuesDataset,,,0,0,0,1,2,0,0,10,0
org.jfree.data.general.PieDataset,,,0,0,0,5,2,0,0,10,0
org.jfree.data.general.Series,63,80,6,5,1,6,114,5,16,40,29
org.jfree.data.general.SeriesChangeEvent,,,0,0,2,0,6,0,0,13,1
org.jfree.data.general.SeriesChangeListener,,,1,1,0,28,3,0,1,1,1
org.jfree.data.general.SeriesDataset,,,0,0,0,37,5,0,3,3,3
org.jfree.data.general.SeriesException,,,0,0,4,0,6,0,0,22,1
org.jfree.data.general.SubSeriesDataset,0,8,0,0,5,0,150,2,23,93,36
org.jfree.data.general.ValueDataset,,,0,0,0,1,2,0,0,5,0
org.jfree.data.general.WaferMapDataset,121,87,3,2,2,0,105,6,17,56,29
org.jfree.data.io.CSV,7,75,7,6,1,0,89,2,4,28,16
org.jfree.data.jdbc.JDBCCategoryDataset,9,66,9,6,3,0,127,2,4,80,21
org.jfree.data.jdbc.JDBCPieDataset,3,0,9,6,3,0,93,1,3,65,14
org.jfree.data.jdbc.JDBCXYDataset,130,83,12,7,4,0,250,6,16,89,49
org.jfree.data.KeyedObject,0,50,1,0,1,0,42,2,5,18,11
org.jfree.data.KeyedObjects,6,0,4,3,1,0,121,1,12,37,31
org.jfree.data.KeyedObjects2D,64,51,5,3,1,0,154,3,20,48,39
org.jfree.data.KeyedValue,,,0,0,0,3,3,0,1,2,1
org.jfree.data.KeyedValueComparator,0,50,4,3,1,0,81,2,3,22,19
org.jfree.data.KeyedValueComparatorType,0,0,0,0,1,0,29,1,3,16,7
org.jfree.data.KeyedValues,,,1,1,0,7,6,0,4,6,4
org.jfree.data.KeyedValues2D,,,1,1,0,14,9,0,7,10,7
org.jfree.data.KeyToGroupMap,4,38,9,5,1,0,158,3,10,47,37
org.jfree.data.Range,28,11,0,0,1,1,142,2,16,31,34
org.jfree.data.RangeInfo,,,1,1,0,5,5,0,3,3,3
org.jfree.data.RangeType,0,83,1,1,1,0,43,1,4,17,11
org.jfree.data.resources.DataPackageResources,,,0,0,3,0,9,0,1,34,1
org.jfree.data.resources.DataPackageResources_de,,,0,0,3,0,9,0,1,34,1
org.jfree.data.resources.DataPackageResources_es,,,0,0,3,0,9,0,1,34,1
org.jfree.data.resources.DataPackageResources_fr,,,0,0,3,0,9,0,1,34,1
org.jfree.data.resources.DataPackageResources_pl,,,0,0,3,0,9,0,1,34,1
org.jfree.data.resources.DataPackageResources_ru,,,0,0,3,0,9,0,1,34,1
org.jfree.data.statistics.BoxAndWhiskerCalculator,,,7,3,1,0,107,0,3,29,17
org.jfree.data.statistics.BoxAndWhiskerCategoryDataset,,,1,1,0,1,20,0,18,32,18
org.jfree.data.statistics.BoxAndWhiskerItem,17,88,3,1,1,0,99,9,10,23,22
org.jfree.data.statistics.BoxAndWhiskerXYDataset,,,1,1,0,1,13,0,11,17,11
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,0,75,6,4,2,0,286,4,35,117,63
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,132,89,5,4,4,0,175,8,24,99,41
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,0,75,4,4,2,0,134,4,20,81,32
org.jfree.data.statistics.HistogramBin,0,60,0,0,1,0,49,3,7,19,12
org.jfree.data.statistics.HistogramDataset,136,50,8,4,5,0,182,2,20,96,43
org.jfree.data.statistics.HistogramType,0,83,1,1,1,0,47,1,4,17,12
org.jfree.data.statistics.MeanAndStandardDeviation,0,50,1,0,1,0,36,2,3,16,9
org.jfree.data.statistics.Regression,,,1,1,1,0,114,0,4,22,12
org.jfree.data.statistics.SimpleHistogramBin,5,60,0,0,1,0,114,5,9,24,32
org.jfree.data.statistics.SimpleHistogramDataset,192,63,9,4,5,0,141,3,24,98,38
org.jfree.data.statistics.StatisticalCategoryDataset,,,0,0,0,1,6,0,4,18,4
org.jfree.data.statistics.Statistics,,,5,3,1,0,198,0,11,35,41
org.jfree.data.time.DateRange,3,50,2,2,2,0,32,2,3,33,7
org.jfree.data.time.Day,0,69,7,6,2,0,144,1,14,66,29
org.jfree.data.time.DynamicTimeSeriesCollection,551,92,7,5,5,0,385,19,38,118,89
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,0,0,1,0,1,0,18,1,2,13,5
org.jfree.data.time.FixedMillisecond,0,0,2,2,2,0,92,1,13,49,23
org.jfree.data.time.Hour,0,57,4,4,2,0,157,2,14,71,35
org.jfree.data.time.Millisecond,0,50,4,4,2,0,116,2,12,55,26
org.jfree.data.time.Minute,0,52,5,5,2,0,163,2,11,72,33
org.jfree.data.time.Month,12,13,7,6,2,0,186,2,15,69,39
org.jfree.data.time.MovingAverage,,,9,7,1,0,180,0,6,43,37
org.jfree.data.time.Quarter,0,66,7,5,2,0,151,2,12,67,29
org.jfree.data.time.RegularTimePeriod,132,66,4,4,1,10,90,0,17,38,24
org.jfree.data.time.Second,0,50,6,5,2,0,133,2,11,64,29
org.jfree.data.time.SimpleTimePeriod,3,33,1,1,1,0,77,2,5,24,18
org.jfree.data.time.TimePeriod,,,1,1,0,12,4,0,2,3,2
org.jfree.data.time.TimePeriodAnchor,0,83,1,1,1,0,44,1,4,17,11
org.jfree.data.time.TimePeriodFormatException,,,0,0,5,0,5,0,0,22,1
org.jfree.data.time.TimePeriodValue,2,37,2,1,1,0,55,2,6,19,16
org.jfree.data.time.TimePeriodValues,235,81,7,4,2,0,242,9,25,72,54
org.jfree.data.time.TimePeriodValuesCollection,128,61,11,7,5,0,206,3,22,112,46
org.jfree.data.time.TimeSeries,492,79,9,5,2,0,394,6,38,97,88
org.jfree.data.time.TimeSeriesCollection,165,56,14,9,5,0,230,3,26,118,57
org.jfree.data.time.TimeSeriesDataItem,10,37,1,1,1,0,77,2,7,22,21
org.jfree.data.time.TimeSeriesTableModel,41,66,5,3,2,0,115,4,8,53,26
org.jfree.data.time.TimeTableXYDataset,255,72,10,8,5,0,185,4,28,115,49
org.jfree.data.time.Week,54,59,5,5,2,0,243,2,16,76,48
org.jfree.data.time.Year,0,0,6,4,2,0,105,1,11,54,22
org.jfree.data.UnknownKeyException,,,0,0,5,0,5,0,0,22,1
org.jfree.data.Value,,,0,0,0,6,3,0,1,1,1
org.jfree.data.Values,,,0,0,0,8,4,0,2,2,2
org.jfree.data.Values2D,,,0,0,0,15,5,0,3,3,3
org.jfree.data.xml.CategoryDatasetHandler,0,0,6,5,3,0,40,1,4,61,9
org.jfree.data.xml.CategorySeriesHandler,0,66,8,7,2,0,50,3,4,64,9
org.jfree.data.xml.DatasetReader,,,14,11,1,0,48,0,4,26,4
org.jfree.data.xml.DatasetTags,,,0,0,0,7,8,0,0,0,0
org.jfree.data.xml.ItemHandler,0,75,7,7,2,0,56,4,6,59,11
org.jfree.data.xml.KeyHandler,1,78,5,4,2,0,46,3,5,62,9
org.jfree.data.xml.PieDatasetHandler,0,0,6,5,3,0,37,1,4,60,9
org.jfree.data.xml.RootHandler,0,0,3,2,2,2,34,1,5,55,10
org.jfree.data.xml.ValueHandler,0,66,4,4,2,0,53,3,5,62,10
org.jfree.data.xy.AbstractIntervalXYDataset,,,0,0,4,12,35,0,4,55,8
org.jfree.data.xy.AbstractXYDataset,,,1,1,3,22,22,0,3,43,5
org.jfree.data.xy.AbstractXYZDataset,,,0,0,4,3,11,0,1,46,2
org.jfree.data.xy.CategoryTableXYDataset,74,50,5,3,5,0,108,2,24,106,31
org.jfree.data.xy.DefaultHighLowDataset,129,96,1,1,4,0,103,7,17,73,24
org.jfree.data.xy.DefaultOHLCDataset,57,50,3,2,4,0,101,2,18,81,28
org.jfree.data.xy.DefaultTableXYDataset,181,71,14,8,5,0,263,5,33,141,73
org.jfree.data.xy.DefaultWindDataset,20,60,6,3,4,0,85,2,8,67,18
org.jfree.data.xy.IntervalXYDataset,,,0,0,0,13,10,0,8,8,8
org.jfree.data.xy.IntervalXYDelegate,96,77,5,3,1,0,160,5,19,48,40
org.jfree.data.xy.IntervalXYZDataset,,,0,0,0,0,8,0,6,14,6
org.jfree.data.xy.MatrixSeries,25,0,0,0,2,1,63,1,10,38,17
org.jfree.data.xy.MatrixSeriesCollection,0,0,5,2,5,0,97,1,13,77,26
org.jfree.data.xy.NormalizedMatrixSeries,0,50,0,0,3,0,31,2,5,43,6
org.jfree.data.xy.OHLCDataItem,6,85,1,1,1,0,77,6,8,25,18
org.jfree.data.xy.OHLCDataset,,,0,0,0,4,12,0,10,10,10
org.jfree.data.xy.SignalsDataset,1,,0,0,0,1,8,0,2,8,2
org.jfree.data.xy.TableXYDataset,,,0,0,0,4,3,0,1,7,1
org.jfree.data.xy.WindDataItem,0,89,0,0,1,0,36,3,4,18,8
org.jfree.data.xy.WindDataset,,,0,0,0,1,4,0,2,8,2
org.jfree.data.xy.XisSymbolic,,,0,0,0,0,5,0,3,3,3
org.jfree.data.xy.XYBarDataset,0,43,1,1,5,0,50,2,10,67,13
org.jfree.data.xy.XYDataItem,11,40,1,0,1,0,75,2,8,24,19
org.jfree.data.xy.XYDataset,,,1,1,0,33,8,0,6,6,6
org.jfree.data.xy.XYDatasetTableModel,15,0,5,2,2,0,61,1,8,51,17
org.jfree.data.xy.XYSeries,316,58,7,3,2,0,263,4,30,78,68
org.jfree.data.xy.XYSeriesCollection,114,52,11,5,5,0,145,2,26,115,40
org.jfree.data.xy.XYZDataset,,,0,0,0,6,4,0,2,8,2
org.jfree.data.xy.YisSymbolic,,,0,0,0,0,5,0,3,3,3
